Time (s),Altitude (m),Z Acceleration (m/s^2)
53.814,1580.7,-5.1074
53.864,1571.2,-5.0946
53.914,1561.8,-5.0798
53.964,1552.3,-5.0623
54.014,1542.9,-5.0435
54.064,1533.4,-5.0248
54.114,1523.9,-5.0062
54.164,1514.3,-4.987
54.214,1504.8,-4.9654
54.264,1495.3,-4.9413
54.314,1485.7,-4.9159
54.364,1476.2,-4.8902
54.414,1466.6,-4.8649
54.464,1457,-4.8435
54.514,1447.4,-4.8247
54.564,1437.8,-4.813
54.614,1428.1,-4.8035
54.664,1418.5,-4.7919
54.714,1408.9,-4.7763
54.764,1399.2,-4.7589
54.814,1389.5,-4.7394
54.864,1379.8,-4.7201
54.914,1370.1,-4.7001
54.964,1360.4,-4.6781
55.014,1350.7,-4.6528
55.064,1341,-4.6272
55.114,1331.2,-4.6026
55.164,1321.5,-4.5801
55.214,1311.7,-4.5617
55.264,1301.9,-4.5475
55.314,1292.1,-4.5342
55.364,1282.3,-4.518
55.414,1272.5,-4.502
55.464,1262.7,-4.4859
55.514,1252.9,-4.4683
55.564,1243,-4.4497
55.614,1233.2,-4.4304
55.664,1223.3,-4.4108
55.714,1213.4,-4.3894
55.764,1203.5,-4.3679
55.814,1193.6,-4.3467
55.864,1183.7,-4.3246
55.914,1173.8,-4.3034
55.964,1163.8,-4.2829
56.014,1153.9,-4.263
56.064,1143.9,-4.2454
56.114,1134,-4.2283
56.164,1124,-4.2118
56.214,1114,-4.1971
56.264,1104,-4.1807
56.314,1094,-4.1628
56.364,1084,-4.1441
56.414,1074,-4.125
56.464,1063.9,-4.105
56.514,1053.9,-4.0834
56.564,1043.8,-4.0608
56.614,1033.7,-4.0367
56.664,1023.7,-4.0109
56.714,1013.6,-3.9891
56.764,1003.5,-3.9734
56.814,993.36,-3.9586
56.864,983.24,-3.945
56.914,973.11,-3.9281
56.964,962.97,-3.912
57.014,952.83,-3.8945
57.064,942.67,-3.8759
57.114,932.5,-3.857
57.164,922.32,-3.837
57.214,912.13,-3.8165
57.264,901.93,-3.7954
57.314,891.73,-3.7735
57.364,881.51,-3.7519
57.414,871.29,-3.7305
57.464,861.05,-3.71
57.514,850.81,-3.6912
57.564,840.55,-3.6753
57.614,830.29,-3.6605
57.664,820.02,-3.6452
57.714,809.74,-3.6282
57.764,799.45,-3.6095
57.814,789.15,-3.5906
57.864,778.84,-3.5706
57.914,768.52,-3.5489
57.964,758.2,-3.5259
58.014,747.86,-3.5037
58.064,737.52,-3.4834
58.114,727.17,-3.4632
58.164,716.81,-3.4451
58.214,706.44,-3.4293
58.264,696.06,-3.4157
58.314,685.67,-3.3995
58.364,675.28,-3.3821
58.414,664.88,-3.3645
58.464,654.46,-3.3465
58.514,644.04,-3.3272
58.564,633.61,-3.3079
58.614,623.18,-3.2879
58.664,612.73,-3.2666
58.714,602.28,-3.2448
58.764,591.82,-3.224
58.814,581.35,-3.2042
58.864,570.87,-3.1847
58.914,560.39,-3.1683
58.964,549.89,-3.1536
59.014,539.39,-3.1391
59.064,528.88,-3.1235
59.114,518.37,-3.1068
59.164,507.84,-3.0893
59.214,497.31,-3.0712
59.264,486.77,-3.0521
59.314,476.22,-3.0322
59.364,465.67,-3.0103
59.414,455.1,-2.9881
59.464,444.53,-2.9661
59.514,433.96,-2.9476
59.564,423.37,-2.9311
59.614,412.78,-2.9157
59.664,402.18,-2.901
59.714,391.57,-2.8849
59.764,380.96,-2.8679
59.814,370.34,-2.8503
59.864,359.71,-2.8314
59.914,349.07,-2.8125
59.964,338.43,-2.7918
60.014,327.78,-2.771
60.064,317.13,-2.7526
60.114,306.46,-2.7344
60.164,295.79,-2.7162
60.214,285.12,-2.6986
60.264,274.43,-2.6819
60.314,263.74,-2.6658
60.364,253.04,-2.6502
60.414,242.34,-2.6332
60.464,231.63,-2.6165
60.514,220.91,-2.5994
60.564,210.19,-2.581
60.614,199.46,-2.5619
60.664,188.73,-2.5436
60.714,177.98,-2.5247
60.764,167.23,-2.5048
60.814,156.48,-2.4845
60.864,145.72,-2.466
60.914,134.95,-2.4503
60.964,124.18,-2.4379
61.014,113.4,-2.4235
61.064,102.61,-2.408
61.114,91.821,-2.3909
61.164,81.023,-2.3743
61.214,70.219,-2.3579
61.264,59.41,-2.3407
61.314,48.595,-2.3219
61.364,37.773,-2.3003
61.414,26.947,-2.2779
61.464,16.114,-2.2595
61.514,5.2758,-2.2449
